"FEATURE_ID","FEATURE_NAME","FEATURE_CLASS","STATE_ALPHA","STATE_NUMERIC","COUNTY_NAME","COUNTY_NUMERIC","PRIMARY_LAT_DMS","PRIM_LONG_DMS","PRIM_LAT_DEC","PRIM_LONG_DEC","SOURCE_LAT_DMS","SOURCE_LONG_DMS","SOURCE_LAT_DEC","SOURCE_LONG_DEC","ELEV_IN_M","ELEV_IN_FT","MAP_NAME","DATE_CREATED","DATE_EDITED","Town","Address"
990339,"Mount Calvary Church","Church","NC",37,"Vance",181,"362958N","0782600W",36.4993099,-78.4333313,NA,NA,NA,NA,121,397,"Townsville","6/17/1980","","Henderson","684 Tungsten Mine Rd, Henderson, NC 27536, USA"
990341,"Mount Calvert Church","Church","NC",37,"Richmond",153,"345532N","0794322W",34.9254319,-79.7228335,NA,NA,NA,NA,102,335,"Hamlet","6/17/1980","","Rockingham","458 County Home Rd, Rockingham, NC 28379, USA"
990342,"Mount Calvert Church","Church","NC",37,"Durham",63,"360916N","0785216W",36.1543098,-78.8711182,NA,NA,NA,NA,137,449,"Lake Michie","6/17/1980","","Bahama","8021 Stagville Rd, Bahama, NC 27503, USA"
990348,"Mount Carmel Church","Church","NC",37,"Sampson",163,"350215N","0783553W",35.0373897,-78.5980678,NA,NA,NA,NA,44,144,"Salemburg","6/17/1980","","Autryville","1615 Mt Carmel Church Rd, Autryville, NC 28318, USA"
990350,"Mount Carmel Church","Church","NC",37,"Moore",125,"352039N","0793248W",35.344039,-79.5466962,NA,NA,NA,NA,144,472,"Zion Grove","6/17/1980","","Carthage","3852 Old Carthage Rd, Carthage, NC 28327, USA"
990354,"Mount Carmel Church","Church","NC",37,"Orange",135,"355149N","0790134W",35.8634793,-79.0261215,NA,NA,NA,NA,92,302,"Farrington","6/17/1980","","Chapel Hill","2016 Mt Carmel Church Rd, Chapel Hill, NC 27517, USA"
990361,"Mount Carmel Church","Church","NC",37,"Granville",77,"360715N","0783219W",36.1207041,-78.5386117,NA,NA,NA,NA,152,499,"Grissom","6/17/1980","","Franklinton","2075-2077 Old Franklinton Rd, Franklinton, NC 27525, USA"
990364,"Mount Carmel United Methodist Church","Church","NC",37,"Vance",181,"361801N","0782215W",36.3001467,-78.3708298,NA,NA,NA,NA,144,472,"Vicksboro","1/1/2000","","Henderson","62 Mt Carmel Church Rd, Henderson, NC 27536, USA"
990375,"Mount Elgrim Church","Church","NC",37,"Columbus",47,"341455N","0784525W",34.2485022,-78.7569628,NA,NA,NA,NA,23,75,"Tabor City East","6/17/1980","","Whiteville","131 Sellers Town Rd, Whiteville, NC 28472, USA"
990379,"Mount Gilbert Church","Church","NC",37,"Halifax",83,"361234N","0772545W",36.2093219,-77.4291372,NA,NA,NA,NA,19,62,"Scotland Neck","6/17/1980","","Scotland Neck","270 Spring Hill Rd, Scotland Neck, NC 27874, USA"
990380,"Mount Gilead Church","Church","NC",37,"Sampson",163,"345454N","0781513W",34.9148903,-78.2536074,NA,NA,NA,NA,45,148,"Clinton South","6/17/1980","","Clinton","3921 Taylors Bridge Hwy, Clinton, NC 28328, USA"
990382,"Mount Gilead Church","Church","NC",37,"Duplin",61,"351038N","0780355W",35.1771089,-78.0652676,NA,NA,NA,NA,49,161,"Mount Olive","6/17/1980","","Mt Olive","700-898 Farrior Rd, Mt Olive, NC 28365, USA"
990384,"Mount Gilead Church","Church","NC",37,"Chatham",37,"354540N","0790526W",35.7609807,-79.0905674,NA,NA,NA,NA,150,492,"Farrington","6/17/1980","","Pittsboro","1785 Mt Gilead Church Rd, Pittsboro, NC 27312, USA"
990386,"Mount Gilliam Church","Church","NC",37,"Halifax",83,"362543N","0775109W",36.4284827,-77.852485,NA,NA,NA,NA,102,335,"Thelma","6/17/1980","","Littleton","3728 Roper Springs Rd, Littleton, NC 27850, USA"
990387,"Mount Gilliard Church","Church","NC",37,"Halifax",83,"361639N","0775539W",36.2773727,-77.927485,NA,NA,NA,NA,77,253,"Hollister","6/17/1980","","Hollister","522 Williams Rd, Hollister, NC 27844, USA"
990388,"Mount Gideon Church","Church","NC",37,"Person",145,"362508N","0785051W",36.4187527,-78.8475073,NA,NA,NA,NA,177,581,"Triple Springs","6/17/1980","","Roxboro","974 Hazel Lawson Rd, Roxboro, NC 27574, USA"
990392,"Mount Harmony Baptist Church","Church","NC",37,"Person",145,"361914N","0785148W",36.3204199,-78.8633404,NA,NA,NA,NA,196,643,"Moriah","1/1/2000","","Rougemont","1655 Mt Harmony Church Rd, Timberlake, NC 27583, USA"
990397,"Mount Herman Church","Church","NC",37,"Chatham",37,"353610N","0791921W",35.602647,-79.3225204,NA,NA,NA,NA,130,427,"Goldston","6/17/1980","","Goldston","8604 Pittsboro Goldston Rd, Goldston, NC 27252, USA"
990398,"Mount Herman Church","Church","NC",37,"Wake",183,"353943N","0783250W",35.6618213,-78.5472264,NA,NA,NA,NA,105,344,"Garner","6/17/1980","","Garner","5908 Raynor Rd, Garner, NC 27529, USA"
990399,"Mount Herman Church","Church","NC",37,"Wake",183,"355315N","0784640W",35.8873708,-78.7777835,NA,NA,NA,NA,119,390,"Southeast Durham","6/17/1980","","Cary","International Dr, Cedar Fork, NC 27513, USA"
990407,"Mount Hermon Church","Church","NC",37,"Nash",127,"355209N","0775511W",35.8690444,-77.9197059,NA,NA,NA,NA,56,184,"Winstead Crossroads","6/17/1980","","Rocky Mount","5352-5650 Bend of the River Rd, Rocky Mount, NC 27803, USA"
990409,"Mount Hermon Church","Church","NC",37,"Orange",135,"360151N","0790114W",36.0306974,-79.0205659,NA,NA,NA,NA,144,472,"Hillsborough","6/17/1980","","Durham","4511 Old State Hwy 10, Durham, NC 27705, USA"
