name,address,city,state,zip_code,program_code,lat,lng,fips_county,GoogleLat,GoogleLon,GoogleCounty,GoogleZip,GoogleZip+4,zipmatch,CountyMatch,fips_county_name
Herring Grove FWB Church,4851 US Hwy 70,Kinston,NC,28504,ELDERLY NU,35.261018,-77.674208,37107,35.258522,-77.66314,Lenoir,28504,9122,TRUE,TRUE,
Sunrise Recovery Resource,1201 North Roxboro Street,Durham,NC,27701,OTHER,36.003423,-78.893051,37063,36.003649,-78.8931814,Durham,27701,2354,TRUE,TRUE,
We Care Center,5128 Highway 705,Robbins,NC,27325,FOODPANTRY,35.450742,-79.597712,37125,35.4507604,-79.5976762,Moore,27325,,TRUE,TRUE,
Warren-Vance Community Health,511 Ruin Creek Road,Henderson,NC,27536,OTHER,36.316137,-78.456654,37181,36.3312565,-78.4469608,Vance,27537,,FALSE,TRUE,
Pleasant Union Christian,2164 Neills Creek Rd,Lillington,NC,27546,FOODPANTRY,35.438997,-78.774838,37085,35.439,-78.77418,Harnett,27546,6115,TRUE,TRUE,
"Operation Care of Wilson, Inc.",613 Mercer Street,Wilson,NC,27893,FOODPANTRY,35.633945,-77.931337,37195,35.721098,-77.917828,Wilson,27893,3935,TRUE,TRUE,
HB Suggs Community Center,3632 S. George Street,Farmville,NC,27828,FOODPANTRY,35.589328,-77.594312,37147,35.591296,-77.594888,Pitt,27828,1897,TRUE,TRUE,
St. Peter's Development Center,1295 East Mumford Road,Greenville,NC,27834,ELDERLY NU,35.627601,-77.35489,37147,35.628619,-77.354495,Pitt,27834,1348,TRUE,TRUE,
Other Side Christian Center,405 Rogers View Ct. Ste 105,Raleigh,NC,27610,FOODPANTRY,35.780037,-78.545056,37183,35.774391,-78.552834,Wake,27610,2930,TRUE,TRUE,
Salt and Light Unveiled,13533 NC Highway 55,Bayboro,NC,28515,AFTER SCH,35.137592,-76.748818,37137,35.145009,-76.796203,Pamlico,28515,,TRUE,TRUE,
State St. Community Church,1200 S. State St.,Raleigh,NC,27610,FOODPANTRY,35.765512,-78.624679,37183,35.7650663,-78.6251479,Wake,27610,,TRUE,TRUE,
Middlesex Church of God,5407 South NC 231,Middlesex,NC,27557,FOODPANTRY,35.739921,-78.256624,37127,35.846357,-78.175025,Nash,27557,8556,TRUE,TRUE,
Iglesia Primeros Frutos,500 Ohara St,Clayton,NC,27520,FOODPANTRY,35.644013,-78.457267,37101,35.6439883,-78.4572374,Johnston,27520,2840,TRUE,TRUE,
Warsaw United Methodist,107 W Plank St,Warsaw,NC,28398,FOODPANTRY,35.000225,-78.091959,37061,34.999965,-78.092312,Duplin,28398,1827,TRUE,TRUE,
Juniper Level,9104 Sauls Road,Raleigh,NC,27603,FOODPANTRY,35.630819,-78.641557,37183,35.631289,-78.642279,Wake,27603,9242,TRUE,TRUE,
Church At The Park,2228 Page Road Suite 108,Durham,NC,27703,FOODPANTRY,35.931429,-78.816504,37063,35.9272114,-78.8128356,Durham,27703,,TRUE,TRUE,
First Missionary Baptist,410 South Goldsboro St,Fremont,NC,27830,FOODPANTRY,35.540291,-77.976925,37191,35.5395386,-77.9772668,Wayne,27830,,TRUE,TRUE,
Our Lady of Perpetual Church,328 Hammond Street,Rocky Mount,NC,27804,FOODPANTRY,35.939202,-77.800616,37127,35.939624,-77.801299,Nash,27804,5823,TRUE,TRUE,
Goldsboro Y Preschool,900 South Harding Drive,Goldsboro,NC,27534,DAY CARE,35.389406,-77.93429,37191,35.3888233,-77.9350182,Wayne,27534,7442,TRUE,TRUE,
Unveiling Glory In Worship,873 West Star Street,Greenville,NC,27834,FOODPANTRY,35.568741,-77.44121,37147,35.568262,-77.441742,Pitt,27834,845,TRUE,TRUE,
Faith Devlopmental Community,655 Sussex Street,Kinston,NC,28501,FOODPANTRY,34.785897,-77.434703,37133,35.259569,-77.647361,Lenoir,28504,8320,FALSE,FALSE,Onslow
Full Deliverance Christian,1011 Orange Street,Henderson,NC,27536,FOODBANK,36.331426,-78.410367,37181,36.3313835,-78.4102725,Vance,27536,3284,TRUE,TRUE,
Fishers of Men Food Bank,612 South Breazeale Ave,Mount Olive,NC,28365,FOODPANTRY,35.205196,-78.044452,37191,35.190295,-78.076747,Wayne,28365,2606,TRUE,TRUE,
You Can Learn Center,552 Green Lake Road,Rockingham,NC,28379,SOUP KITCH,35.015584,-79.725165,37153,35.039051,-79.729505,Richmond,28379,7856,TRUE,TRUE,
Living Waters Christian,1104 Lynn Road,Durham,NC,27703,FOODPANTRY,35.971569,-78.84815,37063,35.971915,-78.84905,Durham,27703,4730,TRUE,TRUE,
Reelsboro United Christian Svc,51 Holland Drive,New Bern,NC,28560,FOODPANTRY,35.133805,-76.919129,37049,35.133719,-76.918627,Pamlico,28560,5204,TRUE,FALSE,Craven
Loaves and Fishes of Beaufort,112 Straits Rd,Beaufort,NC,28516,FOODPANTRY,34.734643,-76.557527,37031,34.733234,-76.559697,Carteret,28516,7211,TRUE,TRUE,
Mt. Bethel United Methodist,1605 Bahama Road,Durham,NC,27503,FOODPANTRY,36.166234,-78.876629,37063,36.167286,-78.875445,Durham,27503,9104,TRUE,TRUE,
Mt. Level Community Haven,316 Hebron Road,Durham,NC,27704,FOODPANTRY,36.05914,-78.895995,37063,36.0589197,-78.895654,Durham,27704,1340,TRUE,TRUE,
Vanceboro United Methodist,560 Farmlife Ave,Vanceboro,NC,28586,FOODPANTRY,35.300473,-77.150827,37049,35.300662,-77.150996,Craven,28586,,TRUE,TRUE,
Third Street Community Center,600 West Third Street,Greenville,NC,27834,AFTER SCH,35.61446,-77.379646,37147,35.6153818,-77.3801223,Pitt,27834,1926,TRUE,TRUE,
Cherry Point United Methodist,103 High School Dr,Havelock,NC,28532,FOODPANTRY,34.876985,-76.90171,37049,34.876921,-76.896216,Craven,28532,,TRUE,TRUE,
Undenominational Pentcostal,801 U.S. 70 East,New Bern,NC,28560,FOODPANTRY,35.009006,-76.991464,37049,35.085212,-77.033754,Craven,28560,,TRUE,TRUE,
Emmanuel Tabernacle Holiness,2525 Atlantic Street,Durham,NC,27707,FOODPANTRY,35.969411,-78.9034,37063,35.9690647,-78.9037203,Durham,27707,4109,TRUE,TRUE,
Victorious Life Empowerment,"3329 Chapel Hill BLVD, STE 100",Durham,NC,27707,FOODPANTRY,35.967188,-78.945266,37063,35.9709908,-78.9457399,Durham,27707,,TRUE,TRUE,
Greater Word of Life,114 East Hamlet Street,Pinetops,NC,27864,AFTER SCH,35.788924,-77.632003,37065,35.7910995,-77.6375192,Edgecombe,27864,,TRUE,TRUE,
North Carolina Central,1801 Old Fayeteville St,Durham,NC,27707,SCHOOL,35.977922,-78.90043,37063,35.9844763,-78.898161,Durham,27701,3914,FALSE,TRUE,
My Father's House Food Pantry,115 W. 9th Street,Greenville,NC,27834,FOODPANTRY,35.607031,-77.374213,37147,35.607054,-77.375009,Pitt,27834,3299,TRUE,TRUE,
Sure Promise Christian Church,4301 Pearl Rd.,Raleigh,NC,27610,FOODPANTRY,35.723908,-78.561211,37183,35.724035,-78.560261,Wake,27610,6113,TRUE,TRUE,
Warsaw Baptist Church,209 East College Street,Warsaw,NC,28398,FOODPANTRY,34.999822,-78.090051,37061,35.000274,-78.089692,Duplin,28398,1910,TRUE,TRUE,
Wake Technical Institute,9101 Fayeteville Rd.,Raleigh,NC,27603,FOODPANTRY,35.65126,-78.706862,37183,35.6508495,-78.7039465,Wake,27603,5655,TRUE,TRUE,
Community Baptist Church,9161 Tartan Road,Laurinburg,NC,28352,FOODPANTRY,34.703901,-79.520686,37165,34.704279,-79.520833,Scotland,28352,1985,TRUE,TRUE,
Boys & Girls Club of Coastal,199 Webb Blvd,Havelock,NC,28532,AFTER SCH,34.877438,-76.895142,37049,34.87679,-76.894172,Craven,28532,2000,TRUE,TRUE,
